# cjxl v0.12.0, generated 2026-02-18
corpus,image,width,height,distance,effort,size_bytes,ssimulacra2,butteraugli,enc_wall_s,enc_user_s,enc_sys_s
clic2025,0369d229,1024,1024,3.0,8,50049,63.33825801,3.7100336552,1.01,1.11,0.70
clic2025,0369d229,1024,1024,4.0,5,38301,51.68271496,5.1379971504,0.06,0.14,0.32
clic2025,0369d229,1024,1024,4.0,6,40567,57.22376876,4.9063696861,0.10,0.30,0.36
clic2025,0369d229,1024,1024,4.0,7,40593,57.12908166,4.9362478256,0.11,0.29,0.49
clic2025,0369d229,1024,1024,4.0,8,37888,55.57352021,4.8810424805,1.05,1.14,0.83
clic2025,0369d229,1024,1024,5.0,5,31015,44.53648696,6.2498097420,0.07,0.18,0.31
clic2025,0369d229,1024,1024,5.0,6,32551,50.64772909,5.6777977943,0.09,0.30,0.37
clic2025,0369d229,1024,1024,5.0,7,32546,50.73170303,5.6742620468,0.11,0.38,0.40
clic2025,0369d229,1024,1024,5.0,8,30142,48.49678868,5.2801156044,1.05,1.23,0.66
clic2025,07b9f93f,1024,1024,0.25,5,571401,90.31469334,0.5255290270,0.08,0.21,0.29
clic2025,07b9f93f,1024,1024,0.25,6,571226,90.25034307,0.5248034000,0.09,0.39,0.24
clic2025,07b9f93f,1024,1024,0.25,7,572736,90.59081690,0.5186008811,0.09,0.41,0.27
clic2025,07b9f93f,1024,1024,0.25,8,603439,91.03852736,0.4161785543,1.03,1.12,0.70
clic2025,07b9f93f,1024,1024,0.5,5,353526,85.82319124,1.0463978052,0.08,0.19,0.28
clic2025,07b9f93f,1024,1024,0.5,6,352612,85.76784486,1.0369191170,0.08,0.37,0.22
clic2025,07b9f93f,1024,1024,0.5,7,348679,86.42897638,1.0718843937,0.09,0.39,0.25
clic2025,07b9f93f,1024,1024,0.5,8,397814,87.61145803,0.7434189320,1.06,1.13,0.64
clic2025,07b9f93f,1024,1024,1.0,5,216044,79.73058271,1.3993580341,0.07,0.22,0.24
clic2025,07b9f93f,1024,1024,1.0,6,217254,79.86927751,1.3739619255,0.11,0.44,0.33
clic2025,07b9f93f,1024,1024,1.0,7,217531,80.37471896,1.3740637302,0.12,0.39,0.42
clic2025,07b9f93f,1024,1024,1.0,8,224946,80.93228758,1.3447542191,1.04,1.12,0.76
clic2025,07b9f93f,1024,1024,1.5,5,158277,75.09803909,1.9876990318,0.07,0.17,0.31
clic2025,07b9f93f,1024,1024,1.5,6,160445,75.16933347,1.8593647480,0.11,0.36,0.39
clic2025,07b9f93f,1024,1024,1.5,7,160136,75.64655430,2.1211605072,0.11,0.39,0.36
clic2025,07b9f93f,1024,1024,1.5,8,168653,76.60659307,2.0198678970,1.04,1.26,0.60
clic2025,07b9f93f,1024,1024,2.0,5,126116,70.81020616,2.6176633835,0.07,0.26,0.20
clic2025,07b9f93f,1024,1024,2.0,6,127762,70.72986598,2.6525793076,0.12,0.34,0.42
clic2025,07b9f93f,1024,1024,2.0,7,127961,71.23927444,2.6569585800,0.11,0.41,0.35
clic2025,07b9f93f,1024,1024,2.0,8,131545,72.14394702,2.4864115715,1.07,1.13,0.80
clic2025,07b9f93f,1024,1024,2.5,5,104632,66.78237034,3.3627469540,0.07,0.22,0.26
clic2025,07b9f93f,1024,1024,2.5,6,105788,66.84918008,3.3604848385,0.11,0.32,0.42
clic2025,07b9f93f,1024,1024,2.5,7,106060,67.11321177,3.3375818729,0.11,0.28,0.48
clic2025,07b9f93f,1024,1024,2.5,8,105048,67.70381144,3.0334048271,1.03,1.18,0.66
clic2025,07b9f93f,1024,1024,3.0,5,89128,63.43350144,4.0733499527,0.07,0.24,0.19
clic2025,07b9f93f,1024,1024,3.0,6,90223,63.62242560,3.8489232063,0.10,0.35,0.35
clic2025,07b9f93f,1024,1024,3.0,7,90741,64.10824450,3.8451142311,0.13,0.51,0.36
clic2025,07b9f93f,1024,1024,3.0,8,88916,63.95403996,3.3438019753,1.00,1.14,0.71
clic2025,07b9f93f,1024,1024,4.0,5,68021,55.15203274,4.4488487244,0.07,0.23,0.25
clic2025,07b9f93f,1024,1024,4.0,6,69901,57.21603405,4.4882664680,0.10,0.33,0.37
clic2025,07b9f93f,1024,1024,4.0,7,70135,57.49060055,4.4882740974,0.14,0.36,0.56
clic2025,07b9f93f,1024,1024,4.0,8,67477,57.20292395,4.4175748825,1.02,1.08,0.83
clic2025,07b9f93f,1024,1024,5.0,5,55878,48.90734047,5.5070610046,0.07,0.18,0.25
clic2025,07b9f93f,1024,1024,5.0,6,56895,52.37452292,4.9102134705,0.09,0.32,0.34
clic2025,07b9f93f,1024,1024,5.0,7,57137,52.34738314,4.9126420021,0.13,0.37,0.44
clic2025,07b9f93f,1024,1024,5.0,8,53472,50.60028462,5.6232109070,1.04,1.16,0.78
clic2025,097cb426,1024,1024,0.25,5,354181,93.74360569,0.4872452319,0.07,0.19,0.30
clic2025,097cb426,1024,1024,0.25,6,353393,93.69283748,0.4869031906,0.08,0.36,0.27
