# cjxl v0.12.0 lossless, generated 2026-02-20
corpus,image,width,height,effort,size_bytes,pixel_sha256,enc_wall_s,enc_user_s,enc_sys_s
cid22,1544947,512,512,8,192284,fd46a447d4dc5b5da2a64b389fe97bf9a7b44cae5a2f92117432497acf0571a5,0.70,0.73,0.06
cid22,1544947,512,512,9,190831,fd46a447d4dc5b5da2a64b389fe97bf9a7b44cae5a2f92117432497acf0571a5,0.93,0.99,0.09
cid22,159550,512,512,5,219172,4bcb3b0a8b5cdfc63a75fc330644539e865514d27be33bfcef8534c5ae7f479d,0.10,0.13,0.04
cid22,159550,512,512,6,216081,4bcb3b0a8b5cdfc63a75fc330644539e865514d27be33bfcef8534c5ae7f479d,0.13,0.13,0.06
cid22,159550,512,512,7,213082,4bcb3b0a8b5cdfc63a75fc330644539e865514d27be33bfcef8534c5ae7f479d,0.19,0.16,0.11
cid22,159550,512,512,8,210316,4bcb3b0a8b5cdfc63a75fc330644539e865514d27be33bfcef8534c5ae7f479d,0.73,0.77,0.07
cid22,159550,512,512,9,210107,4bcb3b0a8b5cdfc63a75fc330644539e865514d27be33bfcef8534c5ae7f479d,0.92,0.98,0.09
cid22,1624487,512,512,5,298235,2d85fc16af7baad0afd1e09762d7a886c8f497878f9303bfc6cf9f961b2a2f77,0.11,0.09,0.09
cid22,1624487,512,512,6,297223,2d85fc16af7baad0afd1e09762d7a886c8f497878f9303bfc6cf9f961b2a2f77,0.15,0.17,0.05
cid22,1624487,512,512,7,294042,2d85fc16af7baad0afd1e09762d7a886c8f497878f9303bfc6cf9f961b2a2f77,0.22,0.20,0.10
cid22,1624487,512,512,8,289930,2d85fc16af7baad0afd1e09762d7a886c8f497878f9303bfc6cf9f961b2a2f77,0.71,0.65,0.16
cid22,1624487,512,512,9,285038,2d85fc16af7baad0afd1e09762d7a886c8f497878f9303bfc6cf9f961b2a2f77,0.89,0.93,0.11
cid22,162520,512,512,5,305171,3c683e648d1f3265229d6fde0e0189611d81c29e95381a4202716fdcf3b33b55,0.10,0.08,0.08
cid22,162520,512,512,6,302062,3c683e648d1f3265229d6fde0e0189611d81c29e95381a4202716fdcf3b33b55,0.13,0.13,0.09
cid22,162520,512,512,7,300578,3c683e648d1f3265229d6fde0e0189611d81c29e95381a4202716fdcf3b33b55,0.20,0.26,0.03
cid22,162520,512,512,8,298450,3c683e648d1f3265229d6fde0e0189611d81c29e95381a4202716fdcf3b33b55,0.63,0.70,0.04
cid22,162520,512,512,9,296151,3c683e648d1f3265229d6fde0e0189611d81c29e95381a4202716fdcf3b33b55,0.83,0.92,0.05
cid22,164595,512,512,5,237364,782b0146782dee1d0105a1b4cb24be9b061bd63ac34e91a2371ab46e44f8a7c3,0.09,0.14,0.03
cid22,164595,512,512,6,231161,782b0146782dee1d0105a1b4cb24be9b061bd63ac34e91a2371ab46e44f8a7c3,0.12,0.12,0.07
cid22,164595,512,512,7,229111,782b0146782dee1d0105a1b4cb24be9b061bd63ac34e91a2371ab46e44f8a7c3,0.18,0.22,0.03
cid22,164595,512,512,8,227318,782b0146782dee1d0105a1b4cb24be9b061bd63ac34e91a2371ab46e44f8a7c3,0.70,0.74,0.06
cid22,164595,512,512,9,225428,782b0146782dee1d0105a1b4cb24be9b061bd63ac34e91a2371ab46e44f8a7c3,0.96,1.05,0.05
cid22,2079234,512,512,5,260461,9d1a44833282727bd685bcc5a50da9aa72ad4345f65386f8bcf12392a8012f0d,0.10,0.09,0.09
cid22,2079234,512,512,6,246029,9d1a44833282727bd685bcc5a50da9aa72ad4345f65386f8bcf12392a8012f0d,0.12,0.15,0.05
cid22,2079234,512,512,7,238238,9d1a44833282727bd685bcc5a50da9aa72ad4345f65386f8bcf12392a8012f0d,0.18,0.20,0.06
cid22,2079234,512,512,8,232757,9d1a44833282727bd685bcc5a50da9aa72ad4345f65386f8bcf12392a8012f0d,0.70,0.74,0.07
cid22,2079234,512,512,9,229951,9d1a44833282727bd685bcc5a50da9aa72ad4345f65386f8bcf12392a8012f0d,0.94,1.02,0.06
cid22,2190188,512,512,5,279380,a92400779f1801f6c05645ae30bc01dbc0e7984a32bd3b93c3b9402718a4cd9d,0.10,0.09,0.08
cid22,2190188,512,512,6,275950,a92400779f1801f6c05645ae30bc01dbc0e7984a32bd3b93c3b9402718a4cd9d,0.13,0.14,0.10
cid22,2190188,512,512,7,266423,a92400779f1801f6c05645ae30bc01dbc0e7984a32bd3b93c3b9402718a4cd9d,0.19,0.21,0.05
cid22,2190188,512,512,8,264512,a92400779f1801f6c05645ae30bc01dbc0e7984a32bd3b93c3b9402718a4cd9d,0.67,0.74,0.03
cid22,2190188,512,512,9,261937,a92400779f1801f6c05645ae30bc01dbc0e7984a32bd3b93c3b9402718a4cd9d,0.92,0.95,0.12
cid22,225228,512,512,5,241198,423424fe6e1745e46a7001805d09fd43ba9d6c2599f7a54431ecc1975865c6a4,0.11,0.11,0.10
cid22,225228,512,512,6,238251,423424fe6e1745e46a7001805d09fd43ba9d6c2599f7a54431ecc1975865c6a4,0.14,0.14,0.08
cid22,225228,512,512,7,233417,423424fe6e1745e46a7001805d09fd43ba9d6c2599f7a54431ecc1975865c6a4,0.20,0.23,0.04
cid22,225228,512,512,8,230939,423424fe6e1745e46a7001805d09fd43ba9d6c2599f7a54431ecc1975865c6a4,0.70,0.75,0.05
cid22,225228,512,512,9,230376,423424fe6e1745e46a7001805d09fd43ba9d6c2599f7a54431ecc1975865c6a4,0.95,1.06,0.04
cid22,2253934,512,512,5,253096,f2f943bcac04e4068528f6516d6bdd1563ad38d2ce4548caa82d71d2024a05a7,0.11,0.12,0.05
cid22,2253934,512,512,6,249851,f2f943bcac04e4068528f6516d6bdd1563ad38d2ce4548caa82d71d2024a05a7,0.13,0.14,0.06
cid22,2253934,512,512,7,238773,f2f943bcac04e4068528f6516d6bdd1563ad38d2ce4548caa82d71d2024a05a7,0.18,0.15,0.11
cid22,2253934,512,512,8,237985,f2f943bcac04e4068528f6516d6bdd1563ad38d2ce4548caa82d71d2024a05a7,0.65,0.59,0.16
cid22,2253934,512,512,9,235992,f2f943bcac04e4068528f6516d6bdd1563ad38d2ce4548caa82d71d2024a05a7,0.89,0.97,0.07
cid22,2389166,512,512,5,285163,96390c563954b11a5a205259b0ebf813b404af1e28ea9d743bb7799cc849d461,0.12,0.14,0.05
cid22,2389166,512,512,6,281255,96390c563954b11a5a205259b0ebf813b404af1e28ea9d743bb7799cc849d461,0.13,0.14,0.06
cid22,2389166,512,512,7,280160,96390c563954b11a5a205259b0ebf813b404af1e28ea9d743bb7799cc849d461,0.18,0.14,0.11
cid22,2389166,512,512,8,278380,96390c563954b11a5a205259b0ebf813b404af1e28ea9d743bb7799cc849d461,0.64,0.59,0.16
cid22,2389166,512,512,9,276378,96390c563954b11a5a205259b0ebf813b404af1e28ea9d743bb7799cc849d461,0.88,0.89,0.17
cid22,2670327,512,512,5,281000,926309f5f8cdb2a1185b083b782a9a380765d31f0f2e7e01c38c53c6af757a49,0.11,0.15,0.03
cid22,2670327,512,512,6,277429,926309f5f8cdb2a1185b083b782a9a380765d31f0f2e7e01c38c53c6af757a49,0.15,0.18,0.04
cid22,2670327,512,512,7,272893,926309f5f8cdb2a1185b083b782a9a380765d31f0f2e7e01c38c53c6af757a49,0.21,0.21,0.07
cid22,2670327,512,512,8,272105,926309f5f8cdb2a1185b083b782a9a380765d31f0f2e7e01c38c53c6af757a49,0.73,0.71,0.12
cid22,2670327,512,512,9,270974,926309f5f8cdb2a1185b083b782a9a380765d31f0f2e7e01c38c53c6af757a49,0.92,0.99,0.08
cid22,2736139,512,512,5,278094,77f76e1e23efb768750a43abbaa4647ab0a8340ba329dafa2cfcec27e32bcaff,0.11,0.10,0.09
cid22,2736139,512,512,6,274379,77f76e1e23efb768750a43abbaa4647ab0a8340ba329dafa2cfcec27e32bcaff,0.15,0.16,0.05
cid22,2736139,512,512,7,272875,77f76e1e23efb768750a43abbaa4647ab0a8340ba329dafa2cfcec27e32bcaff,0.20,0.25,0.03
cid22,2736139,512,512,8,270212,77f76e1e23efb768750a43abbaa4647ab0a8340ba329dafa2cfcec27e32bcaff,0.69,0.73,0.06
cid22,2736139,512,512,9,269493,77f76e1e23efb768750a43abbaa4647ab0a8340ba329dafa2cfcec27e32bcaff,0.95,0.98,0.12
cid22,2775196,512,512,5,282656,dcf2fdda7e20311429add364ad1947cc62b1670ec0fbe30ae73a8986dd5c5f63,0.09,0.13,0.04
cid22,2775196,512,512,6,276762,dcf2fdda7e20311429add364ad1947cc62b1670ec0fbe30ae73a8986dd5c5f63,0.12,0.14,0.06
cid22,2775196,512,512,7,275408,dcf2fdda7e20311429add364ad1947cc62b1670ec0fbe30ae73a8986dd5c5f63,0.17,0.17,0.07
cid22,2775196,512,512,8,272203,dcf2fdda7e20311429add364ad1947cc62b1670ec0fbe30ae73a8986dd5c5f63,0.63,0.70,0.04
cid22,2775196,512,512,9,269206,dcf2fdda7e20311429add364ad1947cc62b1670ec0fbe30ae73a8986dd5c5f63,0.88,0.98,0.05
